Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url
Clopidogrel Hexal,clopidogrel,2009-07-28,Withdrawn,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001139/human_med_000708.jsp
Clopidogrel Krka,Clopidogrel hydrochloride,2009-09-23,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001056/human_med_000709.jsp
Clopidogrel Krka d.d. (previously Zopya),clopidogrel hydrochloride,2009-09-21,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001137/human_med_001184.jsp
Clopidogrel Mylan,clopidogrel hydrochloride,2009-09-21,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001134/human_med_000710.jsp
Clopidogrel Qualimed,clopidogrel hydrochloride,2009-09-23,Withdrawn,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001135/human_med_000712.jsp
Clopidogrel ratiopharm,clopidogrel,2009-09-23,Withdrawn,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/004006/human_med_001810.jsp
Clopidogrel ratiopharm,clopidogrel hydrogen sulphate,2015-02-19,Authorised,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/004006/human_med_001810.jsp
Clopidogrel ratiopharm GmbH,clopidogrel,2009-07-28,Authorised,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001165/human_med_001355.jsp
Clopidogrel Sandoz,clopidogrel,2009-09-21,Withdrawn,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001174/human_med_000714.jsp
Clopidogrel TAD,clopidogrel hydrochloride,2009-09-23,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001136/human_med_000715.jsp
Clopidogrel Teva (hydrogen sulphate),clopidogrel hydrogen sulphate,2009-07-28,Authorised,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001053/human_med_000716.jsp
Clopidogrel Teva Generics B.V.,clopidogrel hydrochloride,2010-10-28,Withdrawn,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/002254/human_med_001391.jsp
Clopidogrel Teva Pharma (previously Clopidogrel HCS),clopidogrel hydrochloride,2009-09-21,Authorised,Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001133/human_med_000707.jsp
Clopidogrel Teva Pharma B.V.,clopidogrel hydrobromide,2011-06-16,Withdrawn,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/001226/human_med_001366.jsp
Clopidogrel Zentiva (previously Clopidogrel Winthrop),clopidogrel,2008-07-16,Authorised,Acute Coronary Syndrome  Myocardial Infarction  Peripheral Vascular Diseases  Stroke,index.jsp?curl=pages/medicines/human/medicines/000975/human_med_000717.jsp
Clopidogrel/Acetylsalicylic acid Teva,clopidogrel / acetylsalicylic acid,2014-09-01,Authorised,Acute Coronary Syndrome  Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/002272/human_med_001791.jsp
Clopidogrel/Acetylsalicylic acid Zentiva (previously DuoCover),clopidogrel / acetylsalicylic acid,2010-03-15,Authorised,Acute Coronary Syndrome  Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/001144/human_med_001326.jsp
Coagadex,human coagulation factor X,2016-03-16,Authorised,Factor X Deficiency,index.jsp?curl=pages/medicines/human/medicines/003855/human_med_001967.jsp
CoAprovel,irbesartan / hydrochlorothiazide,1998-10-15,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000222/human_med_000718.jsp
Colobreathe,colistimethate sodium,2012-02-13,Authorised,Cystic Fibrosis,index.jsp?curl=pages/medicines/human/medicines/001225/human_med_001507.jsp
Combivir,lamivudine / zidovudine,1998-03-18,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000190/human_med_000719.jsp
Cometriq,cabozantinib,2014-03-21,Authorised,Thyroid Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002640/human_med_001726.jsp
Competact,pioglitazone / metformin hydrochloride,2006-07-28,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/000655/human_med_000720.jsp
Comtan,entacapone,1998-09-22,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000171/human_med_000721.jsp
Comtess,entacapone,1998-09-16,Authorised,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000170/human_med_000722.jsp
Conbriza,bazedoxifene,2009-04-17,Authorised,"Osteoporosis, Postmenopausal",index.jsp?curl=pages/medicines/human/medicines/000913/human_med_000723.jsp
Constella,linaclotide,2012-11-26,Authorised,Irritable Bowel Syndrome,index.jsp?curl=pages/medicines/human/medicines/002490/human_med_001597.jsp
Controloc Control,pantoprazole,2009-06-12,Authorised,Gastroesophageal Reflux,index.jsp?curl=pages/medicines/human/medicines/001097/human_med_000724.jsp
Copalia,amlodipine (as besylate) / valsartan,2007-01-16,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000774/human_med_000725.jsp
Copalia HCT,amlodipine / valsartan / hydrochlorothiazide,2009-11-04,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001159/human_med_000726.jsp
Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),levodopa / carbidopa / entacapone,2013-11-11,Authorised,Nervous System Diseases  Neurodegenerative Diseases  Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/002785/human_med_001700.jsp
Corlentor,ivabradine hydrochloride,2005-10-25,Authorised,Angina Pectoris  Heart Failure,index.jsp?curl=pages/medicines/human/medicines/000598/human_med_000727.jsp
Cosentyx,secukinumab,2015-01-15,Authorised,"Arthritis, Psoriatic  Psoriasis",index.jsp?curl=pages/medicines/human/medicines/003729/human_med_001832.jsp
Cotellic,cobimetinib hemifumarate,2015-11-20,Authorised,Melanoma,index.jsp?curl=pages/medicines/human/medicines/003960/human_med_001925.jsp
Cotronak,ribavirin,1999-05-07,Withdrawn,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/000247/human_med_000728.jsp
Cresemba,isavuconazole,2015-10-15,Authorised,Aspergillosis,index.jsp?curl=pages/medicines/human/medicines/002734/human_med_001907.jsp
Crixivan,indinavir sulphate,1996-10-04,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000128/human_med_000729.jsp
Cubicin,daptomycin,2006-01-19,Authorised,"Bacteremia  Endocarditis, Bacterial  Gram-Positive Bacterial Infections  Soft Tissue Infections",index.jsp?curl=pages/medicines/human/medicines/000637/human_med_000730.jsp
Cuprymina,copper (64Cu) chloride,2012-08-23,Authorised,Radionuclide Imaging,index.jsp?curl=pages/medicines/human/medicines/002136/human_med_001578.jsp
Cyanokit,hydroxocobalamin,2007-11-23,Authorised,Poisoning,index.jsp?curl=pages/medicines/human/medicines/000806/human_med_000731.jsp
Cymbalta,duloxetine,2004-12-17,Authorised,"Anxiety Disorders  Depressive Disorder, Major  Diabetic Neuropathies",index.jsp?curl=pages/medicines/human/medicines/000572/human_med_000732.jsp
Cyramza,ramucirumab,2014-12-19,Authorised,Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002829/human_med_001825.jsp
Cystadane,betaine anhydrous,2007-02-15,Authorised,Homocystinuria,index.jsp?curl=pages/medicines/human/medicines/000678/human_med_000733.jsp
Cystagon,mercaptamine bitartrate,1997-06-23,Authorised,Cystinosis,index.jsp?curl=pages/medicines/human/medicines/000125/human_med_000734.jsp
Dacogen,decitabine,2012-09-20,Authorised,"Leukemia, Myeloid",index.jsp?curl=pages/medicines/human/medicines/002221/human_med_001589.jsp
Dafiro,amlodipine / valsartan,2007-01-16,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/000776/human_med_000735.jsp
Dafiro HCT,amlodipine besylate / valsartan / hydrochlorothiazide,2009-11-04,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/001160/human_med_000736.jsp
Daklinza,daclatasvir dihydrochloride,2014-08-22,Authorised,"Hepatitis C, Chronic",index.jsp?curl=pages/medicines/human/medicines/003768/human_med_001792.jsp
Daliresp,roflumilast,2011-02-28,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002398/human_med_001415.jsp
Daquiran,pramipexole dihydrochloride monohydrate,1997-10-27,Withdrawn,Parkinson Disease,index.jsp?curl=pages/medicines/human/medicines/000135/human_med_000737.jsp
Daronrix,"Whole virion, inactivated, containing antigen*: A/Vietnam/1194/2004 (H5N1) * produced in eggs",2007-03-21,Withdrawn,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/000706/human_med_000738.jsp
Darunavir Mylan,darunavir,2017-01-04,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004068/human_med_002030.jsp
Darzalex,daratumumab,2016-05-20,Authorised,Multiple Myeloma,index.jsp?curl=pages/medicines/human/medicines/004077/human_med_001979.jsp
Dasselta,desloratadine,2011-11-28,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/002310/human_med_001508.jsp
DaTSCAN,ioflupane (123l),2000-07-27,Authorised,"Alzheimer Disease  Lewy Body Disease  Parkinson Disease  Tomography, Emission-Computed, Single-Photon",index.jsp?curl=pages/medicines/human/medicines/000266/human_med_000739.jsp
Daxas,roflumilast,2010-07-05,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/001179/human_med_001363.jsp
Defitelio,defibrotide,2013-10-18,Authorised,Hepatic Veno-Occlusive Disease,index.jsp?curl=pages/medicines/human/medicines/002393/human_med_001646.jsp
Deltyba,delamanid,2014-04-28,Authorised,"Tuberculosis, Multidrug-Resistant",index.jsp?curl=pages/medicines/human/medicines/002552/human_med_001699.jsp
DepoCyte,cytarabine,2001-07-11,Authorised,Meningeal Neoplasms,index.jsp?curl=pages/medicines/human/medicines/000317/human_med_000740.jsp
Descovy,emtricitabine / tenofovir alafenamide,2016-04-21,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004094/human_med_001978.jsp
Desloratadine Actavis,desloratadine,2012-01-13,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/002435/human_med_001536.jsp
Desloratadine ratiopharm,desloratadine,2012-01-13,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal  Urticaria",index.jsp?curl=pages/medicines/human/medicines/002404/human_med_001537.jsp
Desloratadine Teva,desloratadine,2011-11-24,Authorised,"Rhinitis, Allergic, Perennial  Rhinitis, Allergic, Seasonal",index.jsp?curl=pages/medicines/human/medicines/002419/human_med_001510.jsp
Destara,ibandronic acid,1996-06-25,Withdrawn,Cancer  Hypercalcemia,index.jsp?curl=pages/medicines/human/medicines/000103/human_med_000741.jsp
Dexdor,dexmedetomidine hydrochloride,2011-09-16,Authorised,Conscious Sedation,index.jsp?curl=pages/medicines/human/medicines/002268/human_med_001485.jsp
Diacomit,stiripentol,2007-01-04,Authorised,"Myoclonic Epilepsy, Juvenile",index.jsp?curl=pages/medicines/human/medicines/000664/human_med_000742.jsp
Dificlir,fidaxomicin,2011-12-05,Authorised,Clostridium Infections,index.jsp?curl=pages/medicines/human/medicines/002087/human_med_001511.jsp
Docefrez,docetaxel,2010-05-10,Withdrawn,"Adenoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Prostatic Neoplasms  Stomach Neoplasms",index.jsp?curl=pages/medicines/human/medicines/001074/human_med_001339.jsp
Docetaxel Accord,docetaxel,2012-05-22,Authorised,"Adenocarcinoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/002539/human_med_001560.jsp
Docetaxel Kabi,docetaxel,2012-05-22,Authorised,"Adenocarcinoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/002325/human_med_001561.jsp
Docetaxel Mylan,"docetaxel, anhydrous",2012-01-31,Withdrawn,"Adenocarcinoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/002317/human_med_001538.jsp
Docetaxel Teva,docetaxel,2010-01-26,Authorised,"Adenocarcinoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms  Stomach Neoplasms",index.jsp?curl=pages/medicines/human/medicines/001107/human_med_001318.jsp
Docetaxel Teva Pharma,docetaxel,2011-01-21,Withdrawn,"Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Prostatic Neoplasms",index.jsp?curl=pages/medicines/human/medicines/002032/human_med_001410.jsp
Docetaxel Winthrop,docetaxel,2007-04-20,Authorised,"Adenocarcinoma  Breast Neoplasms  Carcinoma, Non-Small-Cell Lung  Head and Neck Neoplasms  Prostatic Neoplasms  Stomach Neoplasms",index.jsp?curl=pages/medicines/human/medicines/000808/human_med_000743.jsp
Doribax,doripenem,2008-07-25,Withdrawn,"Bacterial Infections  Cross Infection  Pneumonia, Bacterial  Pneumonia, Ventilator-Associated  Urinary Tract Infections",index.jsp?curl=pages/medicines/human/medicines/000891/human_med_000744.jsp
Dropcys,mercaptamine,2016-06-24,Refused,Corneal Diseases  Cystinosis,index.jsp?curl=pages/medicines/human/medicines/004038/human_med_001964.jsp
Duaklir Genuair,aclidinium bromide / formoterol fumarate dihydrate,2014-11-19,Authorised,"Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/003745/human_med_001811.jsp
Duavive,oestrogens conjugated / bazedoxifene,2014-12-16,Authorised,Osteoporosis,index.jsp?curl=pages/medicines/human/medicines/002314/human_med_001824.jsp
Dukoral,recombinant cholera toxin B subunit / vibrio cholerae 01,2004-04-28,Authorised,Cholera  Immunization,index.jsp?curl=pages/medicines/human/medicines/000476/human_med_000745.jsp
Duloxetine Boehringer Ingelheim,duloxetine,2008-10-08,Withdrawn,Diabetic Neuropathies,index.jsp?curl=pages/medicines/human/medicines/001007/human_med_000746.jsp
Duloxetine Lilly,duloxetine,2014-12-08,Authorised,Diabetic Neuropathies  Neuralgia,index.jsp?curl=pages/medicines/human/medicines/004000/human_med_001828.jsp
Duloxetine Mylan,duloxetine,2015-06-19,Authorised,"Anxiety Disorders  Depressive Disorder, Major  Diabetic Neuropathies  Neuralgia",index.jsp?curl=pages/medicines/human/medicines/003981/human_med_001871.jsp
Duloxetine Zentiva,duloxetine,2015-08-20,Authorised,"Anxiety Disorders  Depressive Disorder, Major  Diabetes Mellitus  Neuralgia",index.jsp?curl=pages/medicines/human/medicines/003935/human_med_001894.jsp
DuoPlavin,clopidogrel / acetylsalicylic acid,2010-03-15,Authorised,Acute Coronary Syndrome  Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/001143/human_med_001325.jsp
DuoResp Spiromax,budesonide / formoterol fumarate dihydrate,2014-04-28,Authorised,"Asthma  Pulmonary Disease, Chronic Obstructive",index.jsp?curl=pages/medicines/human/medicines/002348/human_med_001749.jsp
DuoTrav,travoprost / timolol,2006-04-24,Authorised,"Glaucoma, Open-Angle  Ocular Hypertension",index.jsp?curl=pages/medicines/human/medicines/000665/human_med_000747.jsp
Dutrebis,lamivudine / raltegravir potassium,2015-03-26,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/003823/human_med_001850.jsp
Dynastat,parecoxib sodium,2002-03-22,Authorised,"Pain, Postoperative",index.jsp?curl=pages/medicines/human/medicines/000381/human_med_000748.jsp
Dynepo,epoetin delta,2002-03-18,Withdrawn,"Anemia  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000372/human_med_000749.jsp
Ebilfumin,oseltamivir,2014-05-22,Authorised,"Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/003717/human_med_001770.jsp
Ebixa,memantine hydrochloride,2002-05-15,Authorised,Alzheimer Disease,index.jsp?curl=pages/medicines/human/medicines/000463/human_med_000750.jsp
Ebymect,dapagliflozin propanediol monohydrate / metformin hydrochloride,2015-11-16,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/004162/human_med_001926.jsp
Ecalta,anidulafungin,2007-09-20,Authorised,Candidiasis,index.jsp?curl=pages/medicines/human/medicines/000788/human_med_000751.jsp
Ecansya (previously Capecitabine Krka),capecitabine,2012-04-20,Authorised,Breast Neoplasms  Colonic Neoplasms  Colorectal Neoplasms  Stomach Neoplasms,index.jsp?curl=pages/medicines/human/medicines/002605/human_med_001554.jsp
EchoGen,dodecafluoropentane,1998-07-17,Withdrawn,Echocardiography,index.jsp?curl=pages/medicines/human/medicines/000149/human_med_000752.jsp
Ecokinase,reteplase,1996-08-29,Withdrawn,Myocardial Infarction,index.jsp?curl=pages/medicines/human/medicines/000106/human_med_000753.jsp
Edarbi,azilsartan medoxomil,2011-12-07,Authorised,Hypertension,index.jsp?curl=pages/medicines/human/medicines/002293/human_med_001512.jsp
Edistride,dapagliflozin propanediol monohydrate,2015-11-09,Authorised,"Diabetes Mellitus, Type 2",index.jsp?curl=pages/medicines/human/medicines/004161/human_med_001927.jsp
Edurant,rilpivirine hydrochloride,2011-11-28,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002264/human_med_001513.jsp
Efavirenz Teva,efavirenz,2012-01-09,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/002352/human_med_001530.jsp
Effentora,fentanyl,2008-04-04,Authorised,Cancer  Pain,index.jsp?curl=pages/medicines/human/medicines/000833/human_med_000754.jsp
