,Name,Active substance,Date of authorisation / refusal,Status,Therapeutic area,url,atc,emea,indication,wdid,wdid_mix,rxcui,rxcui_mix,rxcui_combo
50,Aptivus,tipranavir,2005-10-25,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000631/human_med_000650.jsp,J05AE09,EMEA/H/C/000631,"Aptivus, co-administered with low-dose ritonavir, is indicated for combination antiretroviral treatment of HIV-1 infection in highly pretreated adults and adolescents 12 years of age or older with virus resistant to multiple protease inhibitors.
Aptivus should only be used as part of an active combination antiretroviral regimen in patients with no other therapeutic options.This indication is based on the results of two phase-III studies, performed in highly pretreated adult patients (median number of 12 prior antiretroviral agents) with virus resistant to protease inhibitors and of one phase-II study investigating pharmacokinetics, safety and efficacy of Aptivus in mostly treatment-experienced adolescent patients aged 12 to 18 years.
In deciding to initiate treatment with Aptivus, co-administered with low dose ritonavir, careful consideration should be given to the treatment history of the individual patient and the patterns of mutations associated with different agents. Genotypic or phenotypic testing (when available) and treatment history should guide the use of Aptivus. Initiation of treatment should take into account the combinations of mutations which may negatively impact the virological response to Aptivus, co-administered with low-dose ritonavir.",Q423404,,190548,,
51,Aranesp,darbepoetin alfa,2001-06-08,Authorised,"Anemia  Cancer  Kidney Failure, Chronic",index.jsp?curl=pages/medicines/human/medicines/000332/human_med_000651.jsp,B03XA02,EMEA/H/C/000332,"Treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adults and paediatric patients.
Treatment of symptomatic anaemia in adult cancer patients with non-myeloid malignancies receiving chemotherapy.",Q2178381,,,,
52,Arava,leflunomide,1999-09-02,Authorised,"Arthritis, Psoriatic  Arthritis, Rheumatoid",index.jsp?curl=pages/medicines/human/medicines/000235/human_med_000652.jsp,L04AA13,EMEA/H/C/000235,"Leflunomide is indicated for the treatment of adult patients with:

active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD);
active psoriatic arthritis.

Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects.
Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.",Q248550,,27169,,
53,Arepanrix,"split influenza virus, inactivated, containing antigen* : A/California/7/2009 (H1N1)v like strain (X-179A) * produced in eggs",2010-03-23,Withdrawn,"Disease Outbreaks  Immunization  Influenza, Human",index.jsp?curl=pages/medicines/human/medicines/001201/human_med_001299.jsp,J07BB02,EMEA/H/C/001201,Prophylaxis of influenza in an officially declared pandemic situation. Pandemic influenza vaccine should be used in accordance with official guidance,Q4202214,,,,
54,Ariclaim,duloxetine,2004-08-11,Authorised,Diabetic Neuropathies,index.jsp?curl=pages/medicines/human/medicines/000552/human_med_000654.jsp,N06AX21,EMEA/H/C/000552,"Treatment of diabetic peripheral neuropathic pain.
Ariclaim is indicated in adults.",Q411932,,72625,,
55,Aripiprazole Accord,aripiprazole,2015-11-16,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/004021/human_med_001920.jsp,N05AX12,EMEA/H/C/004021,Aripiprazole Accord is indicated for the treatment of schizophrenia in adults and in adolescents aged 15 years and older.Aripiprazole Accord is indicated for the treatment of moderate to severe manic episodes in Bipolar I Disorder and for the prevention of a new manic episode in adults who experienced predominantly manic episodes and whose manic episodes responded to aripiprazole treatment.Aripiprazole Accord is indicated for the treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,Q411188,,89013,,
56,Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),aripiprazole,2015-06-30,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/003803/human_med_001867.jsp,N05AX12,EMEA/H/C/003803,"Aripiprazole Mylan Pharma is indicated for the treatment of schizophrenia in adults and in adolescents aged 15 years and older.
Aripiprazole Mylan Pharma is indicated for the treatment of moderate to severe manic episodes in Bipolar I Disorder and for the prevention of a new manic episode in adults who experienced predominantly manic episodes and whose manic episodes responded to aripiprazole treatment.
Aripiprazole Mylan Pharma is indicated for the treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.",Q411188,,89013,,
57,Aripiprazole Sandoz,aripiprazole,2015-08-20,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/004008/human_med_001892.jsp,N05AX12,EMEA/H/C/004008,"Aripiprazole Sandoz is indicated for the treatment of schizophrenia in adults and in adolescents aged 15 years and older.
Aripiprazole Sandoz is indicated for the treatment of moderate to severe manic episodes in Bipolar I Disorder and for the prevention of a new manic episode in adults who experienced predominantly manic episodes and whose manic episodes responded to aripiprazole treatment.
Aripiprazole Sandoz is indicated for the treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.",Q411188,,89013,,
58,Aripiprazole Zentiva,aripiprazole,2015-06-25,Authorised,Bipolar Disorder  Schizophrenia,index.jsp?curl=pages/medicines/human/medicines/003899/human_med_001868.jsp,N05AX12,EMEA/H/C/003899,Aripiprazole Zentiva is indicated for the treatment of schizophrenia in adults and in adolescents aged 15 years and older.Aripiprazole Zentiva is indicated for the treatment of moderate to severe manic episodes in Bipolar I Disorder and for the prevention of a new manic episode in adults who experienced predominantly manic episodes and whose manic episodes responded to aripiprazole treatment.Aripiprazole Zentiva is indicated for the treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,Q411188,,89013,,
59,Arixtra,fondaparinux sodium,2002-03-21,Authorised,"Angina, Unstable  Myocardial Infarction  Pulmonary Embolism  Venous Thrombosis",index.jsp?curl=pages/medicines/human/medicines/000403/human_med_000655.jsp,B01AX05,EMEA/H/C/000403,"1.5-mg/0.3-ml and 2.5-mg/0.5-ml solution for injection
Prevention of venous thromboembolic events (VTE) in adults undergoing major orthopaedic surgery of the lower limbs such as hip fracture, major knee surgery or hip-replacement surgery.
Prevention of VTE in adults undergoing abdominal surgery who are judged to be at high risk of thromboembolic complications, such as patients undergoing abdominal cancer surgery.
Prevention ofVTE in adult medical patients who are judged to be at high risk for VTE and who are immobilised due to acute illness such as cardiac insufficiency and / or acute respiratory disorders, and / or acute infectious or inflammatory disease.
Treatment of adults with acute symptomatic spontaneous superficial-vein thrombosis of the lower limbs without concomitant deep-vein thrombosis.
2.5-mg/0.5-ml solution for injection
Treatment of unstable angina or non-ST-segment-elevation myocardial infarction (UA/NSTEMI) in adult patients for whom urgent ( 120 mins) invasive management (PCI) is not indicated.
infarction (STEMI) in adult patients who are managed with thrombolytics or who initially are to receive no other form of reperfusion therapy.
5-mg/0.4-ml, 7.5-mg/0.6-ml and 10-mg/0.8-ml solution for injection
Treatment of adults with acute deep-vein thrombosis (DVT) and treatment of acute pulmonary embolism (PE), except in haemodynamically unstable patients or patients who require thrombolysis or pulmonary embolectomy.",Q421218,,,,
60,Armisarte (previously Pemetrexed Actavis),pemetrexed diacid monohydrate,2016-01-18,Authorised,"Carcinoma, Non-Small-Cell Lung  Mesothelioma",index.jsp?curl=pages/medicines/human/medicines/004109/human_med_001952.jsp,L01BA04,EMEA/H/C/004109,"Malignant pleural mesothelioma
Pemetrexed in combination with cisplatin is indicated for the treatment of chemotherapy nave patients with unresectable malignant pleural mesothelioma.
Non-small cell lung cancer
Pemetrexed in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.
Pemetrexed is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy.
Pemetrexed is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.",Q415220,,,,
61,Arzerra,ofatumumab,2010-04-19,Authorised,"Leukemia, Lymphocytic, Chronic, B-Cell",index.jsp?curl=pages/medicines/human/medicines/001131/human_med_001300.jsp,L01XC10,EMEA/H/C/001131,"Previously untreated chronic lymphocytic leukaemia (CLL): Arzerra in combination with chlorambucil or bendamustine is indicated for the treatment of patients with CLL who have not received prior therapy and who are not eligible for fludarabine-based therapy.
Relapsed CLL: Arzerra is indicated in combination with fludarabine and cyclophosphamide for the treatment of adult patients with relapsed CLL.
Refractory CLL: Arzerra is indicated for the treatment of CLL in patients who are refractory to fludarabine and alemtuzumab.",Q410656,,,,
62,Atazanavir Mylan,atazanavir sulfate,2016-08-22,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/004048/human_med_001988.jsp,J05AE08,EMEA/H/C/004048,"Atazanavir Mylan, co-administered with low dose ritonavir, is indicated for the treatment of HIV 1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products.Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors ( 4 PI mutations). There are very limited data available from children aged 6 to less than 18 years. The choice of Atazanavir Mylan in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patients treatment history.",Q423467,,343047,,
63,Atosiban SUN,atosiban acetate,2013-07-31,Authorised,Premature Birth,index.jsp?curl=pages/medicines/human/medicines/002329/human_med_001671.jsp,G02CX01,EMEA/H/C/002329,"Atosiban is indicated to delay imminent pre-term birth in pregnant adult women with:

regular uterine contractions of at least 30 seconds duration at a rate of  4 per 30 minutes;
a cervical dilation of 1 to 3 cm (0-3 for nulliparas) and effacement of  50%;
a gestational age from 24 until 33 completed weeks;
a normal foetal heart rate.
",Q27237053,,,,
64,Atriance,nelarabine,2007-08-22,Authorised,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,index.jsp?curl=pages/medicines/human/medicines/000752/human_med_000656.jsp,L01BB07,EMEA/H/C/000752,"Nelarabine is indicated for the treatment of patients with T-cell acute lymphoblastic leukaemia (T-ALL) and T-cell lymphoblastic lymphoma (T-LBL) whose disease has not responded to or has relapsed following treatment with at least two chemotherapy regimens.
Due to the small patient populations in these disease settings, the information to support theseindications is based on limited data.",Q1216264,,274771,,
65,Atripla,efavirenz / emtricitabine / tenofovir disoproxil fumarate,2007-12-13,Authorised,HIV Infections,index.jsp?curl=pages/medicines/human/medicines/000797/human_med_000657.jsp,J05AR06,EMEA/H/C/000797,"Atripla is a fixed-dose combination of efavirenz, emtricitabine and tenofovir disoproxil fumarate. It is indicated for the treatment of human-immunodeficiency-virus-1 (HIV-1) infection in adults with virologic suppression to HIV-1 RNA levels of  50 copies/ml on their current combination antiretroviral therapy for more than three months. Patients must not have experienced virological failure on any prior antiretroviral therapy and must be known not to have harboured virus strains with mutations conferring significant resistance to any of the three components contained in Atripla prior to initiation of their first antiretroviral treatment regimen.
The demonstration of the benefit of Atripla is primarily based on 48-week data from a clinical study in which patients with stable virologic suppression on a combination antiretroviral therapy changed to Atripla.
No data are currently available from clinical studies with Atripla in treatment-naive or in heavily pretreated patients.
No data are available to support the combination of Atripla and other antiretroviral agents.",,"['Q422645', 'Q422604', 'Q27132754']",,"['195085', '276237', '322248']",
66,ATryn,antithrombin alfa,2006-07-28,Authorised,Antithrombin III Deficiency,index.jsp?curl=pages/medicines/human/medicines/000587/human_med_000658.jsp,B01AB02,EMEA/H/C/000587,ATryn is indicated for the prophylaxis of venous thromboembolism in surgery of patients with congenital antithrombin deficiency. ATryn is normally given in association with heparin or low molecular weight heparin.,,,,,
